,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
13004,K-On!!: Ura-On!!,Kyoto Animation,Special,Comedy,3735.0,27372,2010,9203
13005,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Toei Animation,Special,Action|Adventure|Comedy|Drama|Fantasy|Super Power|Shounen,1481.0,24714,2017,36215
13006,Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,J.C.Staff,Special,Comedy,6905.0,4609,2014,27613
13007,Shingeki no Kyojin Season 3 Specials,Wit Studio,Special,Comedy|Parody|Shounen,2992.0,11575,2018,39477
13008,Owari no Chronicle,,Special,Action|Adventure|Fantasy|Sci-Fi,9121.0,1615,2012,13669
13009,Love♥Love? Specials,Imagin|Studio Live,Special,Comedy|Romance|Ecchi|Harem,7042.0,3715,2004,1874
13010,Koi to Senkyo to Chocolate: Koi Imouto!,AIC Build,Special,Drama|Romance|School,2786.0,26602,2013,18045
13011,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Kyoto Animation,Special,Comedy,1091.0,55827,2006,1015
13012,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya,SILVER LINK.,Special,Slice of Life|Parody,4203.0,9722,2018,36833
13013,Baka to Test to Shoukanjuu Specials,SILVER LINK.,Special,Comedy|School,2083.0,34013,2010,7870
13014,Amagami SS: Tachibana Miya-hen - Imouto,AIC,Special,School,1788.0,41174,2011,9925
13015,Queen's Blade: Rebellion Specials,Arms,Special,Ecchi,6577.0,4610,2012,13855
13016,Gakuen Heaven: Hamu Hamu Heaven,,Special,Comedy,5415.0,4856,2006,4353
13017,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,AIC Classic,Special,Comedy|Ecchi|Parody|School|Shounen,7214.0,2660,2012,16508
13018,One Piece: Heart of Gold,Toei Animation,Special,Action|Adventure|Comedy|Drama|Fantasy|Shounen,1470.0,48743,2016,33338
13019,Ken to Mahou no Logres: Inishie no Megami x Fate/Extella,Shaft,Special,Game|Music,8026.0,2241,2016,38784
13020,Rozen Maiden: Ouvertüre,Nomad,Special,Action|Comedy|Drama|Seinen,1164.0,47321,2006,1719
13021,Owaranai Seraph: Nagoya-hen,Wit Studio,Special,Comedy|Parody|Shounen,2268.0,30764,2015,31918
13022,Fate/Zero Remix,ufotable,Special,Action|Fantasy|Supernatural,3488.0,11640,2012,13183
13023,Shinmai Maou no Testament Departures: Maria no Hizou Eizou,,Special,Ecchi|Demons|Harem|Parody,4842.0,7446,2018,39480
13024,Little Busters!: EX,J.C.Staff,Special,Comedy|Drama|Romance|Slice of Life|Supernatural|School,1701.0,30635,2014,20517
13025,A.F,,Special,Action|Sci-Fi|Mecha|Space,10511.0,677,2002,4934
13026,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,Kyoto Animation,Special,Music,1365.0,37509,2015,30745
13027,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,A-1 Pictures,Special,Comedy|Romance|Harem|Music|School|Shoujo,3169.0,16456,2013,19251
13028,Gekkan Shoujo Nozaki-kun Specials,Doga Kobo,Special,Comedy|Romance|School,589.0,98840,2014,27633
13029,One Piece: Glorious Island,Toei Animation,Special,Action|Adventure|Comedy|Fantasy|Super Power|Shounen,2987.0,19544,2012,16468
13030,Kimi ni Todoke 2nd Season: Minitodo Gekijou,Production I.G,Special,Comedy|Romance|Shoujo,2344.0,28403,2011,10536
13031,Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou,Brain's Base,Special,Comedy,8023.0,4221,2009,19945
13032,Dragon Ball Super: Broly - Skytree Super,Toei Animation,Special,Action|Comedy|Shounen,4058.0,10250,2018,38653
13033,Working!!!: Lord of the Takanashi,A-1 Pictures,Special,Comedy|Romance|Slice of Life|Seinen,532.0,72610,2016,31715
13034,.hack//Intermezzo,Bee Train,Special,Adventure|Fantasy|Mystery|Sci-Fi|Game,4070.0,16127,2003,1143
13035,Keijo!!!!!!!! Specials,Xebec,Special,Comedy|Sports|Ecchi|Shounen,4741.0,11035,2016,34884
13036,_Summer Specials,Rikuentai,Special,Harem,8674.0,2195,2006,4827
13037,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,,Special,Adventure|Comedy|Fantasy|Sci-Fi|Game,5997.0,7028,2003,1994
13038,Dokyuu Hentai HxEros: HxEros Report,Project No.9,Special,Action|Comedy|Supernatural|Ecchi|School|Shounen,7568.0,2623,2020,42685
13039,Gakuen Handsome Special,Team YokkyuFuman,Special,Boys Love|Comedy|Parody|School,9006.0,908,2016,33457
13040,Hetalia World Series Specials,Studio Deen,Special,Comedy|Historical|Parody,2829.0,16545,2011,10497
13041,Owarimonogatari 2nd Season Recaps,Shaft,Special,Comedy|Mystery|Supernatural|Vampire,2332.0,12976,2017,36796
13042,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no Ja!",Arms,Special,Adventure|Fantasy|Romance|Demons,3608.0,14710,2013,17743
13043,Dance in the Vampire Bund: Special Edition,Shaft,Special,Action|Supernatural|Vampire,4708.0,9895,2010,8211
13044,ef: A Tale of Memories. - Prologue,Shaft,Special,Drama|Music,3048.0,18604,2007,6361
13045,One Piece: Adventure of Nebulandia,Toei Animation,Special,Action|Adventure|Comedy|Fantasy|Super Power|Shounen,2470.0,26235,2015,32051
13046,Danganronpa 3: Monokuma Gekijou,Lerche,Special,Comedy|Parody,3723.0,12630,2016,37103
13047,One Piece: Cry Heart,,Special,Fantasy|Shounen,5884.0,4782,2014,22661
13048,Kokoro Connect: Michi Random,SILVER LINK.,Special,Comedy|Drama|Romance|Slice of Life|Supernatural|School,554.0,201302,2012,16001
13049,Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,ufotable,Special,Comedy|School,5178.0,8583,2017,36914
13050,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,TMS Entertainment,Special,Adventure|Sci-Fi|Shounen,1884.0,27853,2020,43555
13051,Girls & Panzer: Shoukai Shimasu!,Actas,Special,Military|School,3805.0,13862,2012,16199
13052,Nurarihyon no Mago: Sennen Makyou Recaps,Studio Deen,Special,Action|Supernatural|Demons|Shounen,4428.0,8071,2011,11083
13053,Meiji x Kokosake & anohana Receipt Oubo Campaign,,Special,Drama,7169.0,3965,2015,31165
13054,Taimanin Asagi Special,,Special,Action|Supernatural|Hentai|Demons|Martial Arts,6524.0,3679,2009,8837
13055,Detective Conan: Episode One - The Great Detective Turned Small,TMS Entertainment,Special,Adventure|Comedy|Mystery|Police|Shounen,2126.0,18731,2016,34036
13056,One Piece: Straw Hat Theater,Toei Animation,Special,Adventure|Fantasy|Shounen,2842.0,21430,2006,2680
13057,Tasogare Otome x Amnesia: Taima Otome,SILVER LINK.,Special,Horror|Mystery|Romance|Supernatural|School|Shounen,1305.0,57080,2012,14189
13058,Manga de Wakaru! Fate/Grand Order,A-1 Pictures,Special,Comedy,3004.0,11097,2018,38958
13059,One Piece: Episode of Sorajima,Toei Animation,Special,Action|Adventure|Comedy|Drama|Fantasy|Super Power|Shounen,3369.0,15350,2018,37902
13060,A Smart Experiment,,Special,Avant Garde,10650.0,513,2006,30214
13061,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Shaft,Special,Comedy|Sci-Fi,1700.0,44328,2012,10638
13062,Shingeki no Kyojin-ten 360° Taikan Theater,,Special,Action|Fantasy|Super Power|Shounen,4304.0,5786,2017,35267
13063,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Kyoto Animation,Special,Comedy|Fantasy,1153.0,71113,2015,30206
13064,Yami no Teio: Kyuuketsuki Dracula,Toei Animation,Special,Vampire,10212.0,2435,1980,3801
13065,Gintama: Shinyaku Benizakura-hen,Sunrise,Special,Action|Comedy|Sci-Fi|Historical|Parody|Samurai|Shounen,1775.0,25879,2010,9735
